2363,Muhammad. That,,,413671
5167,Berlin,,,417211
5675,"Community Bank,",,,417769
5676,east Lake Street.,,,417769
5677,Friday,,,417769
5678,The,,,417769
5679,Community Bank branch,,,417769
5680,"E. Lake St.,",,,417769
5886,"Southwest Side Marquette Park neighborhood,",,,417991
5887,"Southwest Side Marquette Park neighborhood,",,,417991
5888,block of South,,,417991
5889,Medical Center,,,417991
5890,Whipple,,,417991
5891,3000 block of West 64th Street,,,417991
7077,West,,,419207
7078,District,,,419207
7769,Englwood,,,419974
7770,block of South,,,419974
7771,5800 block of South Elizabeth Street,,,419974
7772,5800 block of South Racine,,,419974
7773,59th Street,,,419974
7972,Indiana State Fairgrounds,,,420255
7976,Aug.,,,420258
7977,north side. Separately,,,420258
8280,3600 block of West Belmont Avenue,,,420564
8281,"2500 block of West Cortland Street,",,,420564
8466,Friday,,,420839
8467,Lake View neighborhood. A,,,420839
8468,3900 block of North Ashland Avenue,,,420839
8469,Logan Square shooting. The,,,420839
8470,"2300 block of North Harding Avenue,",,,420839
8471,Cook County,,,420839
8472,77th Street and,,,420839
8473,"7900 block of South Christiana Avenue,",,,420839
8474,7900 block of South Christiana,,,420839
8475,3200 block of Cermak Road,,,420839
8476,"800 block of North Noble Street,",,,420839
8477,"St.,",,,420839
8478,7900 block of South South Chicago Avenue,,,420839
8479,40th Street and South,,,420839
8480,"2600 block of South Ridgeway Avenue,",,,420839
8481,7400 block of South Blackstone,,,420839
8482,4100 block of West Adams Street,,,420839
8483,block of South Langley Avenue,,,420839
8484,"1300 block of East 75th Street,",,,420839
8485,"7100 block of South Halsted Street,",,,420839
8486,"400 block of South Pulaski Road,",,,420839
8487,2100 block of South Western Avenue.,,,420839
8655,3000 block of,,,420964
8656,10000 block of South Normal Avenue,,,420964
8657,Expressway. Phagan,,,420964
8846,2400 block of North Lincoln,,,421150
8847,"Felix Hotel, 111 W. Huron. She",,,421150
8848,The,,,421150
9157,Harrison Red Line,,,421548
9158,"600 block of South State Street,",,,421548
9223,Loop,,,421641
9224,Wednesday. The,,,421641
9225,"Infiniti G35, Central District",,,421641
10662,block of South,,,423455
10663,"7200 block of South Lafayette Avenue,",,,423455
10924,County,,,423745
10925,200 block of Sherry Lane. A,,,423745
11457,"311 N. Sangamon,",,,424357
11458,"Smith,",,,424357
11459,300 block of North Sangamon. Also,,,424357
11460,block of West,,,424357
11726,Elementary School,,,424486
12255,Hoffman Estates,,,424947
12589,7100 block of South Normal Avenue.,,,425292
12590,7100 block of South Normal,,,425292
14997,Friday,,,428220
14998,"2600 block of South Wabash Avenue,",,,428220
14999,Street,,,428220
18316,Chicago,,,431633
21166,5400 block of North,,,434597
21464,7000 block of South Yale,,,434951
21465,The Hudson,,,434951
21466,He,,,434951
21467,Side,,,434951
24062,"Skyway,",,,438145
24063,and Indianapolis Blvd.,,,438145
24511,block of East Touhy Avenue,,,438461
24661,525 W. Van Buren,,,438674
25896,County Courthouse,,,439734
26261,Superintendent,,,440113
27318,Mayor,,,441100
27677,block of Morgan,,,441608
27678,block of North Clybourn Avenue,,,441608
27679,Park,,,441608
27680,2800 block of North,,,441608
27681,Pierce,,,441608
27682,County Jail,,,441608
28589,Michigan,,,442449
30467,South,,,444065
30468,"1300 block of North Lorel Avenue,",,,444065
30592,500 block of,,,444203
31223,south,,,445004
31224,700 block of Torrence Avenue,,,445004
33996,North Side Old Town,,,447482
33997,1400 block of North Sedgwick Street,,,447482
33998,block of South Forrestville,,,447482
35408,Delfino’s,,,449022
35409,6000 block of North Washtenaw.,,,449022
35410,"ranch, talking. There",,,449022
35411,Hidalgo,,,449022
35412,En Vigia”,,,449022
35413,The,,,449022
35414,6000 block of North Washtenaw,,,449022
36602,Expressway,,,450306
36603,"wall,",,,450306
38497,The,,,452259
38748,2900 block of West Sherwin,,,452572
39556,One,,,453335
39557,[ Chicago Lawn ][2],,,453335
39558,59th Street,,,453335
39559,block of South,,,453335
39560,5900 block of South Talman,,,453335
39561,"block of West 47th Street,",,,453335
39562,city's Back,,,453335
41013,Springfield Avenue,,,454827
41500,"suburbs,",,,455173
41501,2900 block of South,,,455173
41502,10000 block of South Normal,,,455173
41503,Ryan Expy. He,,,455173
41504,31st and South King Drive,,,455173
41505,south suburbs. Phagan,,,455173
41760,block of North Nagle,,,455502
41761,2800 block of North Nagle,,,455502
41762,"Resurrection Medical Center,",,,455502
43020,"Southwest Side,",,,456716
43021,"7700 block of South Wolcott Avenue,",,,456716
43022,77th Street,,,456716
43023,Far South Side. About,,,456716
43024,200 block of West 110th Street,,,456716
43095,Northwest Side Hermosa neighborhood. A,,,456743
43096,2200 block of North Kostner Avenue,,,456743
43097,"2200 block of North Kostner,",,,456743
43098,3100 block of North Lawndale,,,456743
43099,block of North Kostner,,,456743
43302,Hotel,,,456919
43303,"105 E. Delaware Pl.][1],",,,456919
43304,"Hubbard St.,",,,456919
43305,Hotel,,,456919
44117,August,,,458050
44118,Chicago's Rogers Park,,,458050
44119,North Sacramento,,,458050
44120,"Army,",,,458050
44704,south,,,458612
44705,"b, Cook",,,458612
44706,Street,,,458612
44707,County,,,458612
45261,3200 blk of N Albany,,,459247
45262,Enriquez,,,459247
45946,River North,,,460128
47207,"5500 block of South Seeley Avenue,",,,462082
47208,7800 block of South May,,,462082
47402,She,,,462197
47403,"6200 block of South Rhodes,",,,462197
47404,He,,,462197
47405,The,,,462197
47406,Merrill,,,462197
47407,and Chappel. Police,,,462197
47408,"Earlier Sunday,",,,462197
47409,Austin,,,462197
47410,A,,,462197
48315,of South,,,463503
48316,800 block of East 63rd Street ][4],,,463503
48317,7600 block of South Dante,,,463503
48392,Humboldt Park neighborhood. Police,,,463566
48393,"1100 block of North Keystone Avenue,",,,463566
51390,Gold Coast,,,468197
51391,Westin Hotel,,,468197
51392,Mag Mile.,,,468197
51393,Hotel,,,468197
51565,2300 block of Chicago's Lincoln Avenue,,,468534
51977,63rd Street and California Avenue.,,,469070
51978,6600 block of South,,,469070
53080,"801 S. Washington St.,",,,470552
53081,block of South Throop,,,470552
53082,Washington Street,,,470552
53083,block of South,,,470552
55052,West Pullman,,,473190
55053,"Far South Side,",,,473190
55054,of South Morgan,,,473190
55912,"3000 block of West 23rd Street,",,,474365
55913,3000 block of West 23rd Street,,,474365
55914,"Cassia Juvenile Detention Center,",,,474365
55915,2600 block of South,,,474365
55916,"53rd Street,",,,474365
55917,block of South,,,474365
57946,Investigators,,,476753
59637,Street,,,478386
60985,Logan,,,480555
61686,Marquette Park,,,481736
61687,South Side. In,,,481736
61688,6500 block of South Claremont Avenue,,,481736
61689,"2500 block of West 65th Street,",,,481736
62814,2300 block of East 70th Street,,,483229
65006,Street,,,485704
65007,Center,,,485704
65600,6200 block of South Honore Avenue.,,,486764
65601,Special Operations Section.,,,486764
67044,Street and South,,,488530
67045,Department,,,488530
67046,I'm,,,488530
73190,East 43rd Street,,,496553
73191,Bronzeville. Authorities,,,496553
76891,110 block of South Michigan,,,500625
78840,Street and California,,,502458
79043,marathon.,,,502569
79044,"Boston Marathon. Chicago,",,,502569
79045,Fall. Mayor Rahm Emanuel,,,502569
79834,West Pullman neighborhood. The,,,503529
79835,"Northwest Side,",,,503529
79836,Medical Center,,,503529
79837,3900 block of North Avondale Avenue.,,,503529
79838,West Pullman neighborhood,,,503529
79839,block of South Emerald Avenue,,,503529
79840,12000 block of South Lafayette,,,503529
79841,"1500 block of East 62nd Street,",,,503529
79842,100 block of North Mason Avenue,,,503529
79843,3000 block of West Carroll Avenue,,,503529
79844,"Humboldt Park neighborhood,",,,503529
84660,time. The sheriff's,,,508911
84786,block of South,,,509093
85624,Clinic,,,509840
87876,4800 block of South Seeley Avenue,,,512287
89509,Kennedy Expressway (I-90/94),,,513846
89510,Hubbard Street,,,513846
93178,6300 block of South Martin Luther,,,517424
93753,Those,,,517998
94127,Annual Police Recognition,,,518552
94346,1200 block of North Mayfield,,,518677
100421,51st Avenue,,,524769
100422,1500 block of South 5th Avenue,,,524769
