"0","1","model_type","df_name","crime_category"
"","","","",""
"0.79","0.68","SVM_PRECISION","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.73","0.75","SVM_RECALL","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.76","0.71","SVM_FSCORE","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.83","0.73","FORESTS_PRECISION","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.77","0.81","FORESTS_RECALL","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.8","0.77","FORESTS_FSCORE","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.8","0.72","GLMNET_PRECISION","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.77","0.76","GLMNET_RECALL","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.78","0.74","GLMNET_FSCORE","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.7","0.63","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.71","0.62","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.7","0.62","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_2_Chicago Police Department"
"0.94","0.58","SVM_PRECISION","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.98","0.31","SVM_RECALL","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.96","0.4","SVM_FSCORE","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.92","0.69","FORESTS_PRECISION","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"1","0.1","FORESTS_RECALL","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.96","0.17","FORESTS_FSCORE","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.93","0.53","GLMNET_PRECISION","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.98","0.27","GLMNET_RECALL","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.95","0.36","GLMNET_FSCORE","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.95","0.46","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.94","0.53","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.94","0.49","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office"
"0.96","0.17","SVM_PRECISION","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.99","0.05","SVM_RECALL","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.97","0.08","SVM_FSCORE","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.96","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.98","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.96","0.4","GLMNET_PRECISION","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.99","0.1","GLMNET_RECALL","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.97","0.16","GLMNET_FSCORE","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.97","0.18","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.93","0.36","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.95","0.24","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_4_Cook County Circuit Court"
"0.99","0.64","SVM_PRECISION","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.43","SVM_RECALL","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.51","SVM_FSCORE","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.98","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_5_Cook County Jail"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.64","GLMNET_PRECISION","mydtm_sparse_0.98","code_5_Cook County Jail"
"1","0.33","GLMNET_RECALL","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.44","GLMNET_FSCORE","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.44","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.52","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.99","0.48","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_5_Cook County Jail"
"0.96","0.69","SVM_PRECISION","mydtm_sparse_0.98","code_6_Cook County Sheriff's Police"
"1","0.2","SVM_RECALL","mydtm_sparse_0.98","code_6_Cook County Sheriff's Police"
"0.98","0.31","SVM_FSCORE","mydtm_sparse_0.98","code_6_Cook County Sheriff's Police"
"0.95","0.33","FORESTS_PRECISION","mydtm_sparse_0.98","code_6_Cook County Sheriff's Police"
