"df_name","crime_category","model","num_articles_predicted","AUC","Cutoff_for_max_F_score","Max_F_score","Precision_for_max_F_score","Recall_for_max_F_score","Cutoff_for_max_Accuracy","Max_Accuracy","Precision_for_max_Accuracy","Recall_for_max_Accuracy","Cutoff_for_max_matt_coef","Max_Matt_coef","Precision_for_max_Matt_coef","Recall_for_max_Matt_coef","is_tfidf","is_stem","is_stem_and_tfidf","df_term_total","total_positives","total_negatives"
"mydtm_sparse_0.98","code_2_Chicago Police Department","SVM",1000,0.802,0.472,0.729,0.676,0.79,0.49,0.741,0.683,0.774,0.472,0.487,0.676,0.79,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","GLMNET",1000,0.846,0.414,0.763,0.661,0.903,0.515,0.772,0.742,0.742,0.414,0.544,0.661,0.903,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","FORESTS",1000,0.844,0.465,0.779,0.712,0.86,0.465,0.784,0.712,0.86,0.465,0.581,0.712,0.86,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","MAXENTROPY",1000,0.67,0.006,0.634,0.631,0.638,0.006,0.675,0.631,0.638,0.006,0.342,0.631,0.638,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","RANDOM FOREST ENSEMBLE",250,0.819,0.413,0.757,0.683,0.848,0.513,0.768,0.721,0.786,0.513,0.537,0.721,0.786,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","SVM",1000,0.868,0.242,0.601,0.585,0.618,0.332,0.929,0.629,0.494,0.242,0.561,0.585,0.618,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","GLMNET",1000,0.918,0.104,0.626,0.511,0.809,0.196,0.924,0.567,0.618,0.104,0.6,0.511,0.809,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","FORESTS",1000,0.93,0.23,0.647,0.574,0.742,0.375,0.932,0.714,0.393,0.23,0.614,0.574,0.742,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","MAXENTROPY",1000,0.745,0.881,0.497,0.489,0.506,0.974,0.911,0.5,0.472,0.881,0.447,0.489,0.506,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","RANDOM FOREST ENSEMBLE",250,0.908,0.41,0.618,0.548,0.708,0.606,0.924,0.619,0.542,0.41,0.578,0.548,0.708,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","SVM",1000,0.829,0.171,0.239,0.168,0.41,0.9,0.96,0,0,0.093,0.252,0.134,0.718,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","GLMNET",1000,0.906,0.185,0.345,0.26,0.513,0.833,0.962,0.6,0.077,0.1,0.331,0.174,0.821,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","FORESTS",1000,0.866,0.26,0.354,0.298,0.436,0.37,0.962,0.571,0.103,0.215,0.331,0.232,0.59,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","MAXENTROPY",1000,0.662,0.201,0.246,0.181,0.385,1,0.923,0.148,0.205,0.201,0.22,0.181,0.385,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","RANDOM FOREST ENSEMBLE",250,0.895,0.227,0.308,0.25,0.4,0.562,0.96,0.5,0.1,0.034,0.352,0.159,1,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_5_Cook County Jail","SVM",1000,0.927,0.131,0.56,0.483,0.667,0.817,0.984,0.778,0.333,0.131,0.557,0.483,0.667,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","GLMNET",1000,0.908,0.133,0.638,0.577,0.714,0.384,0.984,0.692,0.429,0.133,0.633,0.577,0.714,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","FORESTS",1000,0.939,0.165,0.5,0.444,0.571,0.215,0.982,0.636,0.333,0.13,0.497,0.366,0.714,0,0,0,1305,21,979
